country,iso3,year,bbr
Germany,DEU,1999,-1.8664670428068
Germany,DEU,2000,-1.7143112046054
Germany,DEU,2001,-3.1246213898239
Germany,DEU,2002,-4.0861578871618
Germany,DEU,2003,-3.8295080796676
Germany,DEU,2004,-3.4210044307993
Germany,DEU,2005,-3.3708415924599
Germany,DEU,2006,-1.755187166657
Germany,DEU,2007,0.1548646458607
Germany,DEU,2008,-0.26296885620713
Germany,DEU,2009,-3.175940368168
Germany,DEU,2010,-4.420975352355
Germany,DEU,2011,-0.83999839820016
Germany,DEU,2012,-0.054335400531565
Germany,DEU,2013,0.12251960592783
Germany,DEU,2014,0.73152016941031
Germany,DEU,2015,0.91476273311241
Germany,DEU,2016,1.134103861718
Germany,DEU,2017,1.3372195937128
Germany,DEU,2018,1.8831227449964
Germany,DEU,2019,1.3272627555636
Germany,DEU,2020,-4.3796946724162
Germany,DEU,2021,-3.1672795016213
Germany,DEU,2022,-1.9085123289525
Germany,DEU,2023,-2.4944599946437
Germany,DEU,2024,-2.6633356202515
Italy,ITA,1999,-1.77470171118
Italy,ITA,2000,-2.4200960197438
Italy,ITA,2001,-3.1808244238409
Italy,ITA,2002,-2.8797740798201
Italy,ITA,2003,-3.2262006337065
Italy,ITA,2004,-3.4609227526268
Italy,ITA,2005,-4.0985328933281
Italy,ITA,2006,-3.6054425257587
Italy,ITA,2007,-1.3259427987919
Italy,ITA,2008,-2.5839590489366
Italy,ITA,2009,-5.056539741318
Italy,ITA,2010,-4.1613924832998
Italy,ITA,2011,-3.5243959979775
Italy,ITA,2012,-2.9854877735855
Italy,ITA,2013,-2.8745508128853
Italy,ITA,2014,-2.8185002475747
Italy,ITA,2015,-2.4591198825452
Italy,ITA,2016,-2.404660569573
Italy,ITA,2017,-2.5088650347895
Italy,ITA,2018,-2.1919916478413
Italy,ITA,2019,-1.4501116365902
Italy,ITA,2020,-9.3787892669099
Italy,ITA,2021,-8.8793644315249
Italy,ITA,2022,-8.1093133233871
Italy,ITA,2023,-7.2386564636223
Italy,ITA,2024,-3.44620266301
Netherlands,NLD,1999,0.28276086951348
Netherlands,NLD,2000,1.1358032335893
Netherlands,NLD,2001,-0.46775900161717
Netherlands,NLD,2002,-2.2300611850046
Netherlands,NLD,2003,-3.1918757197986
Netherlands,NLD,2004,-1.82496101194
Netherlands,NLD,2005,-0.51471465607949
Netherlands,NLD,2006,0.041025187081662
Netherlands,NLD,2007,-0.16249849464092
Netherlands,NLD,2008,-0.057577241789101
Netherlands,NLD,2009,-5.0603564418025
Netherlands,NLD,2010,-5.3047951703052
Netherlands,NLD,2011,-4.4215587191107
Netherlands,NLD,2012,-3.8336027418904
Netherlands,NLD,2013,-2.8724380866239
Netherlands,NLD,2014,-2.173064142747
Netherlands,NLD,2015,-1.835162870526
Netherlands,NLD,2016,0.22522303606762
Netherlands,NLD,2017,1.3541787361442
Netherlands,NLD,2018,1.4947800826397
Netherlands,NLD,2019,1.9084875633762
Netherlands,NLD,2020,-3.7168861295613
Netherlands,NLD,2021,-2.2595479782401
Netherlands,NLD,2022,0.0022136805457729
Netherlands,NLD,2023,-0.37109585166831
Netherlands,NLD,2024,-0.94488974652972
