country,year,value,indicator
DEU,1985,1.0,FR_ind
DEU,1986,1.0,FR_ind
DEU,1987,1.0,FR_ind
DEU,1988,1.0,FR_ind
DEU,1989,1.0,FR_ind
DEU,1990,1.0,FR_ind
DEU,1991,1.0,FR_ind
DEU,1992,3.0,FR_ind
DEU,1993,3.0,FR_ind
DEU,1994,3.0,FR_ind
DEU,1995,3.0,FR_ind
DEU,1996,3.0,FR_ind
DEU,1997,3.0,FR_ind
DEU,1998,3.0,FR_ind
DEU,1999,3.0,FR_ind
DEU,2000,3.0,FR_ind
DEU,2001,3.0,FR_ind
DEU,2002,3.0,FR_ind
DEU,2003,3.0,FR_ind
DEU,2004,3.0,FR_ind
DEU,2005,3.0,FR_ind
DEU,2006,3.0,FR_ind
DEU,2007,3.0,FR_ind
DEU,2008,3.0,FR_ind
DEU,2009,3.0,FR_ind
DEU,2010,3.0,FR_ind
DEU,2011,3.0,FR_ind
DEU,2012,3.0,FR_ind
DEU,2013,3.0,FR_ind
DEU,2014,3.0,FR_ind
DEU,2015,3.0,FR_ind
DEU,2016,3.0,FR_ind
DEU,2017,3.0,FR_ind
DEU,2018,3.0,FR_ind
DEU,2019,3.0,FR_ind
DEU,2020,3.0,FR_ind
DEU,2021,3.0,FR_ind
DEU,2022,3.0,FR_ind
DEU,2023,3.0,FR_ind
DEU,2024,3.0,FR_ind
ITA,1985,0.0,FR_ind
ITA,1986,0.0,FR_ind
ITA,1987,0.0,FR_ind
ITA,1988,0.0,FR_ind
ITA,1989,0.0,FR_ind
ITA,1990,0.0,FR_ind
ITA,1991,0.0,FR_ind
ITA,1992,2.0,FR_ind
ITA,1993,2.0,FR_ind
ITA,1994,2.0,FR_ind
ITA,1995,2.0,FR_ind
ITA,1996,2.0,FR_ind
ITA,1997,2.0,FR_ind
ITA,1998,2.0,FR_ind
ITA,1999,2.0,FR_ind
ITA,2000,2.0,FR_ind
ITA,2001,2.0,FR_ind
ITA,2002,2.0,FR_ind
ITA,2003,2.0,FR_ind
ITA,2004,2.0,FR_ind
ITA,2005,2.0,FR_ind
ITA,2006,2.0,FR_ind
ITA,2007,2.0,FR_ind
ITA,2008,2.0,FR_ind
ITA,2009,2.0,FR_ind
ITA,2010,2.0,FR_ind
ITA,2011,2.0,FR_ind
ITA,2012,2.0,FR_ind
ITA,2013,2.0,FR_ind
ITA,2014,3.0,FR_ind
ITA,2015,3.0,FR_ind
ITA,2016,3.0,FR_ind
ITA,2017,3.0,FR_ind
ITA,2018,3.0,FR_ind
ITA,2019,3.0,FR_ind
ITA,2020,3.0,FR_ind
ITA,2021,3.0,FR_ind
ITA,2022,3.0,FR_ind
ITA,2023,3.0,FR_ind
ITA,2024,3.0,FR_ind
NLD,1985,0.0,FR_ind
NLD,1986,0.0,FR_ind
NLD,1987,0.0,FR_ind
NLD,1988,0.0,FR_ind
NLD,1989,0.0,FR_ind
NLD,1990,0.0,FR_ind
NLD,1991,0.0,FR_ind
NLD,1992,2.0,FR_ind
NLD,1993,2.0,FR_ind
NLD,1994,3.0,FR_ind
NLD,1995,3.0,FR_ind
NLD,1996,3.0,FR_ind
NLD,1997,3.0,FR_ind
NLD,1998,3.0,FR_ind
NLD,1999,3.0,FR_ind
NLD,2000,3.0,FR_ind
NLD,2001,3.0,FR_ind
NLD,2002,3.0,FR_ind
NLD,2003,3.0,FR_ind
NLD,2004,3.0,FR_ind
NLD,2005,3.0,FR_ind
NLD,2006,3.0,FR_ind
NLD,2007,3.0,FR_ind
NLD,2008,3.0,FR_ind
NLD,2009,3.0,FR_ind
NLD,2010,3.0,FR_ind
NLD,2011,3.0,FR_ind
NLD,2012,3.0,FR_ind
NLD,2013,3.0,FR_ind
NLD,2014,3.0,FR_ind
NLD,2015,3.0,FR_ind
NLD,2016,3.0,FR_ind
NLD,2017,3.0,FR_ind
NLD,2018,3.0,FR_ind
NLD,2019,3.0,FR_ind
NLD,2020,3.0,FR_ind
NLD,2021,3.0,FR_ind
NLD,2022,3.0,FR_ind
NLD,2023,3.0,FR_ind
NLD,2024,3.0,FR_ind
